,inputs,hisco_1,prob_1,desc_1,hisco_2,prob_2,desc_2,hisco_3,prob_3,desc_3,hisco_4,prob_4,desc_4,hisco_5,prob_5,desc_5
0,ge/de[SEP]pflasterer,95160.0,0.9881247,Paviour,,,No pred,,,No pred,,,No pred,,,No pred
1,ge/de[SEP]hilfsarbeitersehefrau,99910.0,0.87714016,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
3,ge/de[SEP]bauhilfsarbeiter,99910.0,0.99975365,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
4,ge/de[SEP]taglohner,99920.0,0.9866523,DayLabourer,,,No pred,,,No pred,,,No pred,,,No pred
5,ge/de[SEP]mechaniker,84900.0,0.44130263,"Machinery Fitter (except Electrical), Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
6,ge/de[SEP]former,72500.0,0.9943355,"Metal Moulder or Coremaker, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
7,ge/de[SEP]schreiner,81120.0,0.9996723,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
8,ge/de[SEP]hausmeister,54020.0,0.40282607,House Servant,22420.0,0.22814116,Housekeeper (except Private Service),,,No pred,,,No pred,,,No pred
9,ge/de[SEP]elektrizitatswerksbesitzersfrau,85510.0,0.71993375,"Electrician, General",,,No pred,,,No pred,,,No pred,,,No pred
10,ge/de[SEP]melker,62510.0,0.9880806,"Dairy Farm Worker, General",,,No pred,,,No pred,,,No pred,,,No pred
11,ge/de[SEP]landwirt,61110.0,0.9889416,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
12,ge/de[SEP]kaufmann,41025.0,0.995297,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
13,ge/de[SEP]arbeiter,99900.0,0.9896986,"Worker, No Further Information",,,No pred,,,No pred,,,No pred,,,No pred
14,ge/de[SEP]schreiner,81120.0,0.9996723,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
15,ge/de[SEP]sattler,80320.0,0.9993051,Saddler and Harness Maker,,,No pred,,,No pred,,,No pred,,,No pred
16,ge/de[SEP]kaufmann und seilermeister,41025.0,0.9989919,Working Proprietor (Wholesale or Retail Trade),75710.0,0.97778326,"Rope Maker, General",,,No pred,,,No pred,,,No pred
17,ge/de[SEP]kaufmann,41025.0,0.995297,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
18,ge/de[SEP]kraftwagenfuhrer,98500.0,0.98163223,MotorVehicle Drivers,,,No pred,,,No pred,,,No pred,,,No pred
19,ge/de[SEP]melker,62510.0,0.9880806,"Dairy Farm Worker, General",,,No pred,,,No pred,,,No pred,,,No pred
20,ge/de[SEP]gutler und holzarbeiter,61115.0,0.9866514,Small Subsistence Farmer (Husbandman),63110.0,0.68853086,Logger (General),,,No pred,,,No pred,,,No pred
21,ge/de[SEP]uhrmacher,84220.0,0.9996655,Watch and Clock Assembler,,,No pred,,,No pred,,,No pred,,,No pred
22,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
