HISCO,EN_HISCO_TEXT,STATUS,RELATION,PRODUCT,HISCLASS,HISCLASS_5,SOCPO,HISCAM_U1
-3,Non work related title,,,,,,,
-3,Non work related title,13,,,11,5,1,
-3,Non work related title,41,,,,,42,
-3,Non work related title,42,,,,,5,
-3,Non work related title,51,,,1,1,5,
-2,Source explicitly states that the person does not work,33,21,,,,,
-2,Source explicitly states that the person does not work,,,,,,,
-1,"Missing, no title",11,51,,,,42,
-1,"Missing, no title",11,,,1,1,42,
-1,"Missing, no title",12,,,8,4,3,
-1,"Missing, no title",13,,,11,5,1,
-1,"Missing, no title",31,,,,,2,
-1,"Missing, no title",33,,,,,1,
-1,"Missing, no title",41,,,,,42,
-1,"Missing, no title",42,22,,,,5,
-1,"Missing, no title",42,,,2,1,5,
-1,"Missing, no title",51,21,,,,5,
-1,"Missing, no title",51,,,1,1,5,
-1,"Missing, no title",52,,,1,1,5,
-1,"Missing, no title",,,,,,,
1110,"Chemist, General",11,,,2,1,5,85.58
1110,"Chemist, General",23,,,4,2,42,85.58
1110,"Chemist, General",33,,,4,2,42,85.58
1110,"Chemist, General",41,22,,,,42,85.58
1110,"Chemist, General",42,,,2,1,5,85.58
1110,"Chemist, General",,,,2,1,5,85.58
1120,Organic Chemist,,,,,,,
1130,Inorganic Chemist,,,,,,,
1140,Physical Chemist,,,,,,,
1150,Analytical Chemist,,,,2,1,42,85.58
1190,Other Chemists,,,,,,,
1200,Physicists,41,22,,,,42,85.58
1200,Physicists,,22,,2,1,5,85.58
1200,Physicists,,,,2,1,5,85.58
1210,"Physicist, General",42,,,2,1,5,82.98
1210,"Physicist, General",,,,2,1,5,82.98
1220,Mechanics Physicist,,,,,,,
1230,Heat Physicist,,,,,,,
1240,Light Physicist,,,,,,,
1250,Sound Physicist,,,,,,,
1260,Electricity and Magnetism Physicist,,,,,,,
1270,Electronics Physicist,,,,,,,
1280,Nuclear Physicist,,,,,,,
1290,Other Physicists,,,,,,,
1300,Physical Scientists Not Elsewhere Classified,,,,,,,
1320,Geophysical Scientist,,,,,,,
1330,Geological Scientist,,,,,,,
1340,Meteorological Scientist,,,,2,1,5,85.58
1350,Astronomical Scientist,,,,2,1,5,82.98
1390,Other Physical Scientists,,,,,,,
1400,"Physical Science Technician, Specialisation Unknown",23,,,5,2,3,69.76
1400,"Physical Science Technician, Specialisation Unknown",33,,,5,2,3,69.76
1400,"Physical Science Technician, Specialisation Unknown",,,,4,2,42,69.76
1420,Chemistry Technician,33,,,5,2,3,82.98
1420,Chemistry Technician,,,,4,2,42,82.98
1430,Physics Technician,,,,4,2,42,
1490,Other Physical Science Technicians,,,,4,2,5,69.76
2000,"Engineer, Specialisation Unknown",31,21,,,,5,99
2000,"Engineer, Specialisation Unknown",31,,,1,1,5,99
2000,"Engineer, Specialisation Unknown",33,,,4,2,42,99
2000,"Engineer, Specialisation Unknown",41,22,,,,42,99
2000,"Engineer, Specialisation Unknown",42,,,2,1,5,99
2000,"Engineer, Specialisation Unknown",,22,,,,5,99
2000,"Engineer, Specialisation Unknown",,,,2,1,5,99
2100,Architects and Town Planners,,,,,,,
2120,Building Architect,23,,,4,2,42,84.26
2120,Building Architect,31,,,1,1,5,84.26
2120,Building Architect,33,,,4,2,42,84.26
2120,Building Architect,,21,,,,5,84.26
2120,Building Architect,,,,2,1,5,84.26
2130,Town Planner,31,,,1,1,5,88.13
2130,Town Planner,33,,,4,2,42,88.13
2130,Town Planner,,,,2,1,5,88.13
2140,Landscape Architect,33,,,4,2,42,74.34
2140,Landscape Architect,,,,2,1,5,74.34
2200,Civil Engineers,,,,,,,
2210,"Civil Engineer, General",23,,,4,2,42,83.16
2210,"Civil Engineer, General",31,21,,,,5,83.16
2210,"Civil Engineer, General",31,,,1,1,5,83.16
2210,"Civil Engineer, General",33,,,4,2,42,83.16
2210,"Civil Engineer, General",41,,,,,42,83.16
2210,"Civil Engineer, General",,21,,,,5,83.16
2210,"Civil Engineer, General",,,,2,1,5,83.16
2220,Building Construction Engineer,31,,,1,1,5,82.58
2220,Building Construction Engineer,33,,,4,2,42,82.58
2220,Building Construction Engineer,,21,,,,5,82.58
2220,Building Construction Engineer,,,,2,1,5,82.58
2230,Highway and Street Construction Engineer,31,,,1,1,5,82.58
2230,Highway and Street Construction Engineer,,,,1,1,5,82.58
2235,Aerodrome Construction Engineer,,,,,,,
2240,Railway Construction Engineer,31,,,1,1,5,84.26
2240,Railway Construction Engineer,33,,,4,2,42,84.26
2240,Railway Construction Engineer,,,,2,1,5,84.26
2245,Bridge Construction Engineer,,21,,,,5,82.58
2245,Bridge Construction Engineer,,,,2,1,5,82.58
2250,Sanitary Engineer,,,,,,,
2255,Hydraulics Engineer,,,,2,1,5,71.27
2260,Soil Mechanics Engineer,31,,,3,2,5,89.01
2260,Soil Mechanics Engineer,,,,4,2,5,89.01
2290,Other Civil Engineers,31,21,,,,5,89.01
2290,Other Civil Engineers,31,,,1,1,5,89.01
2290,Other Civil Engineers,33,,,4,2,42,89.01
2290,Other Civil Engineers,,22,,,,5,89.01
2290,Other Civil Engineers,,,,2,1,5,89.01
2300,Electrical and Electronics Engineers,,,,,,,
2305,"Electrical Engineer, General",31,,,1,1,5,87.33
2305,"Electrical Engineer, General",,,,2,1,5,87.33
2310,"Electronics Engineer, General",31,,,1,1,5,74.34
2310,"Electronics Engineer, General",33,,,4,2,42,74.34
2310,"Electronics Engineer, General",,,,2,1,5,74.34
2320,Power Generation Engineer,,,,,,,
2330,Power Distribution and Transmission Engineer,,,,,,,
2340,Telecommunications Engineer,,,,,,,
2390,Other Electrical and Electronics Engineers,,,,,,,
2400,Mechanical Engineers,,,,,,,
2410,"Mechanical Engineer, General",33,,,4,2,42,82.58
2410,"Mechanical Engineer, General",,,,2,1,5,82.58
2420,Industrial Machinery and Tools Engineer,,,,2,1,5,82.58
2430,"Mechanical Engineer (Motors and Engines, except Marine)",,,,,,,
2440,Marine Engineer,,,,2,1,5,82.58
2450,Ship Construction Engineer,,,,2,1,5,82.58
2460,Aeronautical Engineer,,,,2,1,5,82.58
2470,Automotive Engineer,,,,,,,
2480,"Heating, Ventilation and Refrigeration Engineer",,,,,,,
2485,Nuclear Power Engineer,,,,,,,
2490,Other Mechanical Engineers,,,,,,,
2500,Chemical Engineers,,,,,,,
2510,"Chemical Engineer, General",,,,2,1,5,84.26
2520,Chemical Engineer (Petroleum),,,,,,,
2590,Other Chemical Engineers,,,,,,,
2600,Metallurgists,,,,,,,
2620,Extractive Metallurgist,,,,2,1,5,74.34
2630,Physical Metallurgist,,,,,,,
2690,Other Metallurgists,,,,,,,
2700,Mining Engineers,,,,,,,
2710,"Mining Engineer, General",31,,,1,1,5,82.58
2710,"Mining Engineer, General",,21,,,,5,82.58
2710,"Mining Engineer, General",,,,2,1,5,82.58
2720,CoalMining Engineer,,,,,,,
2730,MetalMining Engineer,,,,,,,
2740,Petroleum and Natural Gas Engineer,33,,,4,2,42,82.58
2740,Petroleum and Natural Gas Engineer,,,,1,1,5,82.58
2790,Other Mining Engineers,,,,,,,
2800,Industrial Engineers,,,,2,1,5,82.58
2810,"Industrial Efficiency Engineer, General",,,,,,,
2820,Methods Engineer,,,,,,,
2830,Time and Motion Study Engineer,,,,,,,
2890,Other Industrial Engineers,,,,2,1,5,82.58
2900,Engineers Not Elsewhere Classified,,,,2,1,5,82.58
2920,Ceramics and Glass Technologist,,,,2,1,5,82.58
2930,Agricultural Engineer,,,,2,1,5,82.58
2940,Food and Drink Technologist,,,,,,,
2950,Traffic Planner,,,,,,,
2990,Other Engineers,,,,2,1,5,82.58
3000,Surveyors,,,,,,,
3010,"Surveyor, General",,,,4,2,5,80.52
3020,Land Surveyor,31,,,3,2,5,78.43
3020,Land Surveyor,33,,,5,2,42,78.43
3020,Land Surveyor,41,,,,,42,78.43
3020,Land Surveyor,,22,,,,5,78.43
3020,Land Surveyor,,,,4,2,5,78.43
3030,Mine Surveyor,31,,,3,2,5,82.58
3030,Mine Surveyor,33,,,5,2,42,82.58
3030,Mine Surveyor,,,,4,2,5,82.58
3040,Hydrographic Surveyor,,,,,,,
3050,Photogrammetrist,,,,,,,
3090,Other Surveyors,,,,4,2,5,84.26
3100,Draughtsmen,,,,,,,
3110,"Draughtsman, General",31,,,3,2,42,74.34
3110,"Draughtsman, General",33,,,5,2,42,74.34
3110,"Draughtsman, General",,22,,,,42,74.34
3110,"Draughtsman, General",,,,4,2,42,74.34
3120,Mechanical Draughtsman,33,,,5,2,42,73.23
3120,Mechanical Draughtsman,,,,4,2,42,73.23
3130,Electrical Draughtsman,,,,4,2,42,74.34
3140,Civil Engineering Draughtsman,33,,,5,2,42,74.34
3140,Civil Engineering Draughtsman,,,,4,2,42,74.34
3150,Architectural Draughtsman,,,,4,2,42,74.34
3160,Cartographical Draughtsman,,,,4,2,42,74.34
3170,Technical Illustrator,,,,4,2,42,82.58
3180,Lithographic Artist,,,,,,,
3190,Other Draughtsmen,,,,4,2,42,76.18
3200,"Technician, Specialisation Unknown",31,,,3,2,42,76.18
3200,"Technician, Specialisation Unknown",33,,,5,2,42,76.18
3200,"Technician, Specialisation Unknown",41,,,,,3,76.18
3200,"Technician, Specialisation Unknown",,,,4,2,42,76.18
3300,Civil Engineering Technicians,,,,,,,
3310,"Civil Engineering Technician, General",31,,,3,2,42,73.62
3310,"Civil Engineering Technician, General",33,,,5,2,42,73.62
3310,"Civil Engineering Technician, General",,,,4,2,42,73.62
3320,Quantity Surveyor,,,,,,,
3330,Surveyor's Technician,,,,4,2,42,84.26
3340,Clerk of Works,33,,,5,2,42,82.58
3340,Clerk of Works,,,,4,2,42,82.58
3390,Other Civil Engineering Technicians,31,,,3,2,42,79.3
3390,Other Civil Engineering Technicians,,,,4,2,42,84.26
3400,Electrical and Electronics Engineering Technicians,,,,,,,
3405,"Electrical Engineering Technician, General",11,,,4,2,5,82.13
3405,"Electrical Engineering Technician, General",31,,,3,2,42,82.13
3405,"Electrical Engineering Technician, General",33,,,5,2,42,82.13
3405,"Electrical Engineering Technician, General",,22,,,,42,82.13
3405,"Electrical Engineering Technician, General",,,,4,2,42,82.13
3410,"Electronics Engineering Technician, General",,,,,,,
3420,Electrical Engineering Technician (High Voltage),,,,,,,
3430,Telecommunications Technician,,,,4,2,3,76.18
3490,Other Electrical and Electronics Engineering Technicians,,,,4,2,42,82.58
3500,Mechanical Engineering Technicians,,,,,,,
3510,"Mechanical Engineering Technician, General",31,,,3,2,42,75.59
3510,"Mechanical Engineering Technician, General",33,,,5,2,42,75.59
3510,"Mechanical Engineering Technician, General",,,,4,2,42,75.59
3520,Mechanical Engineering Technician (Motors and Engines),,,,4,2,42,82.58
3530,Aeronautical Engineering Technician,33,,,5,2,42,76.18
3530,Aeronautical Engineering Technician,,,,4,2,42,75.59
3540,Automotive Engineering Technician,,,,4,2,42,82.58
3550,"Heating, Ventilation and Refrigeration Engineering Technician",,,,4,2,42,82.58
3590,Other Mechanical Engineering Technicians,,,,4,2,42,74.34
3600,Chemical Engineering Technicians,,,,4,2,42,76.18
3610,"Chemical Engineering Technical, General",,,,4,2,42,76.18
3620,Chemical Engineering Technician (Petroleum),,,,4,2,42,82.58
3690,Other Chemical Engineering Technicians,,,,4,2,42,76.18
3700,"Metallurgical Technician, Specialisation Unknown",,,,4,2,42,76.18
3720,Extractive Metallurgy Technician,,,,4,2,42,76.18
3730,Physical Metallurgy Technician,,,,4,2,42,76.18
3790,Other Metallurgical Technicians,,,,4,2,42,76.18
3800,Mining Technicians,,,,4,2,42,76.18
3810,"Mining Technician, General",,,,4,2,42,76.18
3820,Petroleum and Natural Gas Extraction Technician,,,,4,2,42,76.18
3890,Other Mining Technicians,,,,,,,
3900,Engineering Technicians Not Elsewhere Classified,,,,,,,
3920,Production Engineering Technician,,,,4,2,42,76.18
3930,Time and Motion Study Technician,,,,,,,
3990,Other Engineering Technicians,,,,4,2,42,76.18
4000,Aircraft and Ships' Officers,,,,,,,
4100,"Aircraft Pilots, Navigators and Flight Engineers",,,,,,,
4120,Air Transport Pilot,,,,,,,
4125,Aircraft Pilot (Transport or Other Purposes),,,,2,1,5,49.81
4130,Aircraft Pilot (except Transport),23,,32,4,2,42,49.81
4130,Aircraft Pilot (except Transport),,,,2,1,5,49.81
4140,Flight Navigator,,,,,,,
4150,Flight Engineer,,,,,,,
4160,Flying Instructor,,,,,,,
4200,"Shipsâ€™ Deck Officer or Pilot, Specialisation Unknown",11,,,3,2,42,49.81
4200,"Shipsâ€™ Deck Officer or Pilot, Specialisation Unknown",,,,3,2,5,49.81
4215,Ship's Master (Sea),22,,,3,2,42,78.25
4215,Ship's Master (Sea),33,,,3,2,42,78.25
4215,Ship's Master (Sea),,21,,,,5,78.25
4215,Ship's Master (Sea),,,,3,2,5,78.25
4217,Shipâ€™s Master (Sea or Inland Waterways),11,,,3,2,42,49.81
4217,Shipâ€™s Master (Sea or Inland Waterways),23,,,3,2,3,49.81
4217,Shipâ€™s Master (Sea or Inland Waterways),31,,,3,2,42,49.81
4217,Shipâ€™s Master (Sea or Inland Waterways),32,,,3,2,2,49.81
4217,Shipâ€™s Master (Sea or Inland Waterways),33,21,,,,1,49.81
4217,Shipâ€™s Master (Sea or Inland Waterways),33,,,3,2,1,49.81
4217,Shipâ€™s Master (Sea or Inland Waterways),41,22,,,,3,49.81
4217,Shipâ€™s Master (Sea or Inland Waterways),,21,,,,42,49.81
4217,Shipâ€™s Master (Sea or Inland Waterways),,,,3,2,42,49.81
4220,Ship's Master (Inland Waterways),12,,,3,2,42,56.06
4220,Ship's Master (Inland Waterways),31,,,3,2,42,56.06
4220,Ship's Master (Inland Waterways),33,,,3,2,1,56.06
4220,Ship's Master (Inland Waterways),,21,,,,42,56.06
4220,Ship's Master (Inland Waterways),,,,3,2,42,56.06
4230,Ship's Navigating Officer,23,,,3,2,3,66.7
4230,Ship's Navigating Officer,31,,,3,2,42,66.7
4230,Ship's Navigating Officer,33,,,3,2,3,66.7
4230,Ship's Navigating Officer,,21,,,,42,66.7
4230,Ship's Navigating Officer,,,,3,2,42,66.7
4240,Ship Pilot,23,,,5,2,3,66.47
4240,Ship Pilot,31,,,3,2,42,66.47
4240,Ship Pilot,33,,,5,2,3,66.47
4240,Ship Pilot,41,,,,,3,66.47
4240,Ship Pilot,,21,,,,42,66.47
4240,Ship Pilot,,,,4,2,42,66.47
4250,Marine Superintendent (Deck),,,,3,2,42,51.95
4290,Other Ships' Deck Officers and Pilots,,,,3,2,3,49.81
4300,Ships' Engineers,,,,,,,
4315,Ship's Chief Engineer,,,,,,,
4320,Marine Engineer Officer,,,,2,1,42,51.95
4330,Marine Superintendent (Technical),,,,,,,
5000,Life Scientists and Related Technicians,,,,,,,
5100,"Biologists, Zoologists and Related Scientists",,,,,,,
5110,"Biologist, General",33,,,4,2,42,93.51
5110,"Biologist, General",,,,2,1,5,94.44
5120,Botanist,41,,,,,42,94.44
5120,Botanist,,,,2,1,5,94.44
5130,Zoologist,,,,2,1,5,99
5190,"Other Biologists, Zoologists and Related Scientists",33,,,4,2,42,94.44
5190,"Other Biologists, Zoologists and Related Scientists",,,,2,1,5,94.44
5200,"Bacteriologists, Pharmacologists and Related Scientists",,,,,,,
5220,Anatomist,,,,,,,
5230,Biochemist,33,,,4,2,42,89.3
5230,Biochemist,,,,,,,
5240,Physiologist,33,,,4,2,42,99
5240,Physiologist,,,,,,,
5250,Bacteriologist,31,,,1,1,5,99
5250,Bacteriologist,,,,,,,
5260,Medical Pathologist,,,,,,,
5265,Veterinary Pathologist,,,,,,,
5270,Pharmacologist,,,,,,,
5280,Animal Scientist,,,,,,,
5290,"Other Bacteriologists, Pharmacologists and Related Scientists",,,,,,,
5300,Agronomists and Related Scientists,,,,,,,
5320,Agronomist,,,,2,1,5,96.12
5330,Horticulturist,31,,,1,1,5,94.61
5330,Horticulturist,,,,2,1,5,94.61
5340,Silviculturist,,,,2,1,5,96.12
5350,Soil Scientist,33,,,4,2,42,99
5350,Soil Scientist,,,,2,1,5,96.12
5360,Farming Adviser,,,,4,2,5,96.12
5390,Other Agronomists and Related Scientists,33,,,4,2,42,94.44
5390,Other Agronomists and Related Scientists,,,,2,1,5,96.12
5400,"Life Science Technician, Specialisation Unknown",,,,4,2,42,91.58
5420,Biological Technician,33,,,5,2,3,96.12
5420,Biological Technician,,,,4,2,42,96.12
5430,Medical Science Technician,,,,,,,
5490,Other Life Sciences Technicians,,,22,4,2,42,99
5490,Other Life Sciences Technicians,,,,4,2,42,
6100,"Medical Doctor, Specialisation Unknown",41,,,,,42,92.87
6100,"Medical Doctor, Specialisation Unknown",42,,,2,1,5,92.87
6100,"Medical Doctor, Specialisation Unknown",,,,2,1,5,92.87
6105,General Physician,21,,,6,2,5,92.87
6105,General Physician,22,,,2,1,42,92.87
6105,General Physician,23,,,4,2,42,92.87
6105,General Physician,31,21,,,,5,92.87
6105,General Physician,31,,,1,1,5,92.87
6105,General Physician,33,,,4,2,42,92.87
6105,General Physician,41,,,,,42,92.87
6105,General Physician,42,,,2,1,5,92.87
6105,General Physician,,21,,,,5,92.87
6105,General Physician,,,,2,1,5,92.87
6110,General Surgeon,21,,,6,2,5,92.87
6110,General Surgeon,41,,,,,42,92.87
6110,General Surgeon,,31,,,,5,92.87
6110,General Surgeon,,,,2,1,5,92.87
6120,Specialised Physician,31,,,1,1,5,92.87
6120,Specialised Physician,41,,,,,42,92.87
6120,Specialised Physician,42,,,2,1,5,92.87
6120,Specialised Physician,,,,2,1,5,92.87
6130,Specialised Surgeon,41,,,,,42,92.87
6130,Specialised Surgeon,,21,,2,1,5,92.87
6130,Specialised Surgeon,,,,,,5,92.87
6140,Public Health Physician,31,,,1,1,5,92.87
6140,Public Health Physician,,21,,2,1,5,92.87
6140,Public Health Physician,,,,2,1,5,92.87
6190,Other Medical Doctors,31,,,1,1,5,92.87
6190,Other Medical Doctors,,,,2,1,5,92.87
6200,Medical Assistants,,,,,,,
6210,Medical Assistant,33,,,5,2,42,69.15
6210,Medical Assistant,,,,4,2,42,69.15
6300,Dentists,,,,,,,
6310,"Dentist, General",31,,,1,1,5,89.61
6310,"Dentist, General",41,,,,,42,89.61
6310,"Dentist, General",,22,,,,5,89.61
6310,"Dentist, General",,,,2,1,5,89.61
6320,Specialised Dentist,,,,,,,
6330,Public Health Dentist,,,,,,,
6400,Dental Assistants,,,,,,,
6420,Dental Assistant,33,,,5,2,42,59.29
6420,Dental Assistant,,,,5,2,42,59.29
6430,School Dental Assistant,,,,,,,
6440,Dental Hygienist,,,,,,,
6500,Veterinarians,,,,,,,
6510,"Veterinarian, General",31,,,1,1,5,69.47
6510,"Veterinarian, General",33,,,4,2,42,69.47
6510,"Veterinarian, General",41,,,,,42,69.47
6510,"Veterinarian, General",,22,,,,5,69.47
6510,"Veterinarian, General",,,,2,1,5,69.47
6520,Public Health Veterinarian,31,,,1,1,5,88.05
6520,Public Health Veterinarian,33,,,4,2,42,88.05
6520,Public Health Veterinarian,,,,2,1,5,88.05
6590,Other Veterinarians,21,,,6,2,5,88.05
6590,Other Veterinarians,31,,,1,1,5,88.05
6590,Other Veterinarians,,,,2,1,5,88.05
6600,Veterinary Assistants,,,,,,,
6610,Veterinary Assistant,31,,,3,2,42,88.05
6610,Veterinary Assistant,,,,4,2,42,88.05
6700,Pharmacists,,,,,,,
6710,Pharmacist,11,,,2,1,5,86.45
6710,Pharmacist,22,,,2,1,42,86.45
6710,Pharmacist,23,,,4,2,42,86.45
6710,Pharmacist,31,,,1,1,5,86.45
6710,Pharmacist,33,,,4,2,42,86.45
6710,Pharmacist,,21,,,,5,86.45
6710,Pharmacist,,,,2,1,5,86.45
6800,Pharmaceutical Assistants,,,,,,,
6810,Pharmaceutical Assistant,23,,,5,2,42,59.29
6810,Pharmaceutical Assistant,33,,,5,2,42,59.29
6810,Pharmaceutical Assistant,,,,4,2,42,59.29
6900,Dietitians and Public Health Nutritionists,,,,,,,
6910,"Dietitian, General",,,,,,,
6920,Public Health Nutritionist,,,,,,,
6990,Other Dietitians and Public Health Nutritionists,,,,2,1,42,59.29
7100,Professional Nurses,,,,,,,
7110,"Professional Nurse, General",31,,,3,2,42,69.15
7110,"Professional Nurse, General",33,,,5,2,3,69.15
7110,"Professional Nurse, General",41,,,,,3,69.15
7110,"Professional Nurse, General",,21,,,,42,69.15
7110,"Professional Nurse, General",,,,4,2,42,69.15
7120,Specialised Nurse,,,,4,2,42,69.15
7130,Public Health Nurse,31,,,3,2,42,69.15
7130,Public Health Nurse,33,,,5,2,3,69.15
7130,Public Health Nurse,,,,4,2,42,69.15
7140,Occupational Health Nurse,,,,,,,
7190,Other Professional Nurses,,,,,,,
7200,Nursing Personnel Not Elsewhere Classified,,,,,,,
7210,Auxiliary Nurse,33,,,11,5,2,69.15
7210,Auxiliary Nurse,,,,9,3,2,69.15
7300,Professional Midwives,,,,,,,
7310,Professional Midwife,21,,,6,2,42,55.54
7310,Professional Midwife,31,,,3,2,42,55.54
7310,Professional Midwife,33,,,5,2,3,55.54
7310,Professional Midwife,41,,,,,3,55.54
7310,Professional Midwife,,,,4,2,42,55.54
7400,Midwifery Personnel Not Elsewhere Classified,,,,,,,
7410,Auxiliary Midwife,23,,,9,3,2,49.65
7410,Auxiliary Midwife,31,,,6,2,42,49.65
7410,Auxiliary Midwife,33,,,11,5,2,49.65
7410,Auxiliary Midwife,,,,9,3,3,49.65
7500,Optometrists and Opticians,,,,,,,
7520,Optometrist,,,,2,1,42,88.05
7530,Dispensing Optician,31,,,3,2,5,92.87
7530,Dispensing Optician,,,,4,2,5,92.87
7600,Physiotherapists and Occupational Therapists,,,,,,,
7620,Physiotherapist,,,,4,2,42,59.29
7630,Occupational Therapist,,,,,,,
7640,Masseur,31,,,6,2,3,59.29
7640,Masseur,33,,,11,5,1,59.29
7640,Masseur,,,,9,3,2,59.29
7700,Medical XRay Technicians,,,,,,,
7710,Medical XRay Technician,,,,4,2,3,69.15
7900,"Medical, Dental, Veterinary and Related Workers Not Elsewhere Classified",,,,,,,
7920,Osteopath,,,,,,,
7930,Chiropractor,,,,4,2,42,56.45
7940,Sanitarian,,,,,,,
7950,Orthopaedic Technician,,,,,,,
7990,"Other Medical, Dental, Veterinary and Related Workers",31,,,3,2,42,56.45
7990,"Other Medical, Dental, Veterinary and Related Workers",,,,4,2,2,56.45
8000,"Statisticians, Mathematicians, Systems Analysts and Related Technicians",,,,,,,
8100,Statisticians,,,,,,,
8110,"Statistician, General",,,,,,,
8120,Mathematical Statistician,,,,,,,
8130,Statistician (Applied Statistics),,,,2,1,42,87.02
8200,Mathematicians and Actuaries,,,,,,,
8220,Mathematician (Pure Mathematics),41,,,,,42,87.02
8220,Mathematician (Pure Mathematics),42,,,2,1,5,87.02
8220,Mathematician (Pure Mathematics),,,,2,1,5,87.02
8230,Mathematician (Applied Mathematics),33,,,4,2,42,87.02
8230,Mathematician (Applied Mathematics),,,,2,1,5,87.02
8240,OperationsResearch Analyst,,,,,,,
8250,Actuary,41,22,,,,3,87.02
8250,Actuary,,,,2,1,42,87.02
8300,Systems Analysts,,,,,,,
8310,Systems Analyst,,,,,,,
8400,Statistical and Mathematical Technicians,,,,,,,
8420,Computer Programmer,,,,,,,
8490,Other Statistical and Mathematical Technicians,,,,2,1,42,87.02
9000,Economists,,,,,,,
9010,"Economist, General",,,,2,1,5,87.02
9020,"Economist, Specialised",33,,,4,2,42,99
9020,"Economist, Specialised",,,,2,1,5,99
9030,Market Research Analyst,,,,2,1,5,99
11000,Accountants,,,,,,,
11010,"Accountant, General",31,,,1,1,5,77.81
11010,"Accountant, General",33,,,4,2,42,77.81
11010,"Accountant, General",,,,2,1,5,77.81
11020,Auditor,33,,,4,2,42,77.81
11020,Auditor,,21,,,,5,77.81
11020,Auditor,,,,2,1,5,77.81
11090,Other Accountants,,,,,,,
12000,"Jurist, Specialization Unknown",33,,,4,2,42,99
12000,"Jurist, Specialization Unknown",41,,,,,42,99
12000,"Jurist, Specialization Unknown",42,,,2,1,5,99
